,MinEStateIndex,BCUT2D_MRHI,PEOE_VSA12,PEOE_VSA6,SMR_VSA2,SMR_VSA6,SlogP_VSA8,VSA_EState5,NumAliphaticCarbocycles,NumAromaticCarbocycles,NumAromaticRings,fr_Ar_N,fr_Ar_NH,fr_aniline,fr_imidazole
2384,0.49724376586545715,0.2809499875147733,0.20450794094030048,0.27272727272727276,0.0,0.4879537011726195,0.3001391681923864,0.719885885943043,0.0,0.5,0.5714285714285714,0.375,0.0,0.5,0.0
2385,0.9367122889022993,0.09547264798211053,0.20450794094030048,0.355667025320409,0.0,0.4970134520360945,0.10104512754479955,0.7523229798104621,0.0,0.5,0.5714285714285714,0.375,0.0,0.5,0.0
2386,0.9563300752079107,0.019267200400113205,0.20450794094030048,0.5454545454545455,0.0,0.36103808766583306,0.30247378854997925,0.7638655114893413,0.0,0.5,0.5714285714285714,0.375,0.0,0.3333333333333333,0.0
2387,0.8315595713251186,0.0343179718381329,0.20450794094030048,0.4470088849030761,0.0,0.21057698662149918,0.4019037576599391,0.7416779278677411,0.0,0.5,0.7142857142857142,0.625,0.0,0.3333333333333333,0.0
2388,0.8282716384853291,0.06691001177945632,0.2030928476247925,0.0,0.0,0.21057698662149918,0.19742101437441326,0.6831186898940314,0.0,0.0,0.2857142857142857,0.25,0.3333333333333333,0.16666666666666666,0.0
2389,0.855302719906083,0.03444002259664192,0.20450794094030048,0.09090909090909091,0.0,0.4970134520360945,0.4019037576599391,0.7114080525006571,0.0,0.5,0.7142857142857142,0.625,0.0,0.5,0.0
2390,0.9425791459708248,0.1878424185037887,0.20450794094030048,0.1821074979551812,0.0,0.5122099351348117,0.20142866100517973,0.7619213296797831,0.0,0.25,0.42857142857142855,0.25,0.0,0.3333333333333333,0.0
2391,0.9485581572506018,0.0479925793244822,0.0,0.0,0.3333333333333333,0.0,0.40118429573718595,0.7003991284141934,0.0,0.0,0.42857142857142855,0.75,0.3333333333333333,0.0,0.0
2392,0.8227716247239563,0.05872173397624558,0.0,0.4545454545454546,0.0,0.3520323932630889,0.0,0.698423125913897,0.0,0.5,0.42857142857142855,0.125,0.0,0.5,0.0
2393,0.8761697094190948,0.05672758306546577,0.8128516252745216,0.09859031861996909,0.0,0.7083011850822386,0.398849675379593,0.7610556549308236,0.0,0.25,0.5714285714285714,0.625,0.3333333333333333,0.6666666666666666,0.0
2394,0.8767249663643748,0.05687477502742411,0.6097587776497292,0.18949940952906,0.0,0.7090119315068835,0.398849675379593,0.7707627954088152,0.0,0.25,0.5714285714285714,0.5,0.3333333333333333,0.6666666666666666,0.0
2395,0.8806892333652495,0.05783979198509126,0.2030928476247925,0.09859031861996909,0.0,0.2153462824681825,0.398849675379593,0.71445416845299,0.0,0.0,0.42857142857142855,0.75,0.0,0.16666666666666666,0.0
2396,0.8798213599408209,0.05784956388831364,0.2030928476247925,0.09859031861996909,0.0,0.37227172726709606,0.398849675379593,0.7135628388624747,0.0,0.0,0.42857142857142855,0.75,0.0,0.16666666666666666,0.0
