Molecule ChEMBL ID,Smiles,pChEMBL Value
CHEMBL3593578,O=c1[nH]c2cnc3[nH]ccc3c2n1CC1CCCCC1,7.22
CHEMBL3593579,C[C@@H]1CCCC[C@@H]1n1c(=O)[nH]c2cnc3[nH]ccc3c21,8.52
CHEMBL3593584,CC[C@@H]1CCCC[C@@H]1n1c(=O)[nH]c2cnc3[nH]ccc3c21.Cl,8.52
CHEMBL2325894,C[C@@H](NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C(=O)N1CC(C#N)C1,8.09
CHEMBL2325901,CC(C)NC(=O)c1c[nH]c2ncc(C3CC3)nc12,7.35
CHEMBL4224807,CN(c1ncnc2[nH]ccc12)[C@@H]1CCN(C(=O)CC#N)C1,5.55
CHEMBL1835144,CC(C)[C@@H](Nc1ncc(C(N)=O)c2[nH]c3cc(-c4cnn(C)c4)ccc3c12)C(F)(F)F,6.25
CHEMBL569957,CCCN(CC(F)(F)F)C(=O)C1CCCN(c2cc(-c3c(N)nn4cccnc34)ncn2)C1,7.17
CHEMBL570217,CC(C)[C@@H](Nc1cc(-c2c(N)nn3cccnc23)ncn1)c1ccc(F)cc1,5.39
CHEMBL3593777,N#Cc1ccc(N2CC[C@@H](Nc3c(C(N)=O)cnc4[nH]ccc34)[C@@H](F)C2)nc1,9.52
CHEMBL3622376,c1nc(-c2cn(CC3CO3)nn2)c2cc[nH]c2n1,7.46
CHEMBL4062471,NC(=O)c1cnn2cccc2c1NCc1cccc(NC(=O)Cn2sc3ccccc3c2=O)c1,7.52
CHEMBL3665190,CS(=O)(=O)N1CCC[C@H](Nc2nc(Cl)ncc2-c2cnc3[nH]ccc3n2)C1,10.28
CHEMBL3652351,CN(c1ncnc2[nH]ccc12)[C@H]1CC[C@H](CS(=O)(=O)N2C[C@H](CO)[C@@H](F)C2)CC1,6.69
CHEMBL3642342,CN1CCN(Cc2cccc(Nc3nc4cccc(-c5ccc(S(C)(=O)=O)cc5)n4n3)c2)CC1,7.17
CHEMBL3642380,CN1CCN(c2cccc(Nc3nc4c(NCc5ccccc5CN(C)S(C)(=O)=O)cccn4n3)c2)CC1,5.59
CHEMBL558241,O=C1NCc2c1c1c3ccccc3n3c1c1c2c2ccccc2n1CC[C@@H](O)[C@@H](O)CC3,7.92
CHEMBL3644620,CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(C(=O)c3cnc(N5CCCCC5)cn3)C4)n[nH]c2c1,7.22
CHEMBL3914503,COc1cc(O)ccc1-c1ccc2c(-c3nc4ccccc4[nH]3)n[nH]c2c1,7.36
CHEMBL3652280,CN(c1ncnc2[nH]ccc12)[C@H]1CC[C@H](CS(=O)(=O)N2CCCC(C(F)(F)F)C2)CC1,6.22
CHEMBL2062813,CN1CCN(c2cccc(Nc3nc4c(-c5ccc(P(C)(C)=O)cc5)cccn4n3)c2)CC1,6.72
CHEMBL3763833,Cc1ccccc1-n1cc(-c2ccccc2)c2[nH]nc(N)c2c1=O,5.66
CHEMBL4466059,O=C(CCCCCCn1cc(Nc2ncc(Cl)c(NC3CC3)n2)cn1)NO,8.7
CHEMBL4560212,CCc1cc(O)c(F)cc1-c1cc(NS(=O)(=O)c2ccccc2Cl)c2cn[nH]c2c1,8.5
CHEMBL4239361,NC(=O)c1cnc2[nH]ccc2c1NC12CC3CC(CC(C3)C1)C2,8.0
CHEMBL4116008,CCS(=O)(=O)N1CCN(c2ccc(Nc3ncc(C(N)=O)c(NC4CC4)n3)cc2)CC1,8.1
CHEMBL3746074,COc1ccc(-c2nc3c(NCC4CCNCC4)c(Cl)cnc3[nH]2)c(F)c1,5.16
CHEMBL4286562,COCCc1c[nH]c2ncnc(-c3ccc4c(c3)C(NC#N)CCO4)c12,5.23
CHEMBL4281693,N#CN[C@@H]1c2cc(-c3ncnc4[nH]ccc34)ccc2C[C@H]1O,8.7
CHEMBL4287845,N#CN[C@H]1CCc2ccc(-c3ncnc4[nH]cc(-c5ccccc5)c34)cc21,9.15
CHEMBL4288086,C=CC(=O)Nc1cccc(-c2ncnc3[nH]cc(CCOC)c23)c1,6.02
CHEMBL4284396,COCCc1c[nH]c2ncnc(-c3ccc4c(c3)N(C#N)CC(F)(F)O4)c12,6.79
CHEMBL4279720,C[C@]1(NC#N)CCc2ccc(-c3ncnc4[nH]ccc34)cc21,5.26
CHEMBL3763991,CC(C)[C@H](C)n1cc(-c2ccc(N3CCOCC3)cn2)c2[nH]nc(N)c2c1=O,7.64
CHEMBL1938651,CNC(=O)c1cnc(N)c2cc(-c3ccc(C(C)(C)C)cc3)sc12,6.73
CHEMBL4125798,CN(C)C(=O)/C=C/c1cccc(-c2nc3cnc4[nH]ccc4c3n2C2CCCCC2)c1,6.26
CHEMBL2006765,CCCNC(=O)c1ccc(Nc2nc(NCC(F)(F)F)c3cc[nH]c3n2)cc1,6.3
CHEMBL4447631,Cc1cnc(Nc2ccc(N3CCC(N(C)CCO)CC3)c(F)c2)nc1-c1cnn(C(C)C)c1,7.41
CHEMBL4436572,CCCCN(C)C1CCN(c2ccc(Nc3ncc(C)c(-c4cnn(C(C)C)c4)n3)cc2F)CC1,7.41
CHEMBL4128988,CN(C)C(=O)C(C#N)=Cc1ccc(-c2nc3cnc4[nH]ccc4c3n2C2CCCCC2)cc1,6.24
CHEMBL4128181,CN(C)C(=O)C(C#N)=Cc1ccc(-c2nc3cnc4[nH]ccc4c3n2C2CCCCC2)o1,8.05
CHEMBL4281393,N#CN[C@H]1CCc2ccc(-c3ncnc4[nH]ccc34)cc21,6.22
CHEMBL232149,CN1CCN(C(=O)c2cc3c(NC(C)(C)C)nc(-n4cnc5ccncc54)nc3n2C)CC1,6.7
CHEMBL3651030,C=C(COC)C(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,10.6
CHEMBL3665204,CS(=O)(=O)N1CCC[C@H](Nc2nc(C#N)ncc2-c2cnc3[nH]ccc3n2)C1,9.79
CHEMBL215863,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2C)cc1-c1ccc2nc(Nc3ccccc3)ncc2c1,7.34
CHEMBL3665140,CC(C)CC(=O)N1CC[C@@H](Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,8.0
CHEMBL2181088,Cc1cnc2nc1-c1cccc(c1)COCC=CCOCc1cc(ccc1OCCN1CCCC1)N2,7.05
CHEMBL2181329,CCN(CC)CCOc1ccc2cc1COCC=CCOCc1cccc(c1)-c1ccnc(n1)N2,6.21
CHEMBL3116050,C[C@H](Nc1nc(Nc2cn(C)cn2)c2cc[nH]c2n1)c1ncc(F)cn1,7.46
CHEMBL2208033,N[C@H](CO)C(=O)Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,6.8
CHEMBL4095253,C=CS(=O)(=O)N1CCC[C@@H]1Cn1cc(-c2ccc3c(c2)OCO3)c2c(N)ncnc21,5.09
CHEMBL1835140,CC(C)C(Nc1ncc(C(N)=O)c2[nH]c3cc(-c4cnn(C)c4)ccc3c12)C1CC1,6.68
